Stock,Predict,Yield (%)
TRV,187.63158,7.525258761080766
AAPL,175.89716,7.490318026025168
NKE,136.12703,7.144451908033162
BA,163.48172,6.005523717215915
INTC,49.434704,5.539503983483762
